bookid:ID(Book),title,author
115,"Practice Book","Leland Powers"
116,"Bits About Home Matters","Helen Hunt Jackson"
117,"Government and Rebellion","E. E. Adams"
118,"Poems","John Hay"
119,"Mercy Philbrick's Choice","Helen Hunt Jackson"
120,"Alcestis","Euripides"
121,"Norwegian Life","Ethlyn T. Clough"
122,"Punchinello, Volume 2, No. 37, December 10, 1870","Various"
123,"The Sea Lions The Lost Sealers","James Fenimore Cooper"
124,"So Runs the World","Henryk Sienkiewicz,"
125,"A Select Collection of Old English Plays, Vol. IX","Various"
126,"Johnny Crow's Party","L. Leslie Brooke"
127,"The Last of the Foresters","John Esten Cooke"
128,"Fine Feathers Ship's Company, Part 1.","W.W. Jacobs"
129,"Friends In Need Ship's Company, Part 2.","W.W. Jacobs"
130,"Good Intentions Ship's Company, Part 3.","W.W. Jacobs"
131,"Fairy Gold Ship's Company, Part 4.","W.W. Jacobs"
132,"Watch-Dogs Ship's Company, Part 5.","W.W. Jacobs"
133,"The Bequest Ship's Company, Part 6.","W.W. Jacobs"
134,"The Guardian Angel Ship's Company, Part 7.","W.W. Jacobs"
135,"Dual Control Ship's Company, Part 8.","W.W. Jacobs"
136,"Skilled Assistance Ship's Company, Part 9.","W.W. Jacobs"
137,"For Better or Worse Ship's Company, Part 10.","W.W. Jacobs"
138,"The Old Man of the Sea Ship's Company, Part 11.","W.W. Jacobs"
139,"Manners Makyth Man Ship's Company, Part 12.","W.W. Jacobs"
140,"The Aeroplane Boys Flight A Hydroplane Roundup","John Luther Langworthy"
141,"International Short Stories: French","Various"
142,"A Hidden Life and Other Poems","George MacDonald"
143,"Joe Strong The Boy Fire-Eater The Most Dangerous Performance on Record","Vance Barnum"
144,"For Luncheon and Supper Guests","Alice Bradley"
145,"My Strangest Case","Guy Boothby"
146,"The Poetical Works of Addison; Gay's Fables; and Somerville's Chase With Memoirs and Critical Dissertations, by the Rev. George Gilfillan","unknown author #1"
147,"Seeing Europe with Famous Authors, Volume I. Great Britain and Ireland","Various"
148,"Turkish Prisoners in Egypt A Report By The Delegates Of The International Committee Of The Red Cross","Various"
149,"Lady Mary Wortley Montague Her Life and Letters (1689-1762)","Lewis Melville"
150,"Adventures In Friendship","David Grayson"
151,"Great Possessions","David Grayson"
152,"Cap and Gown A Treasury of College Verse","Selected by Frederic Knowles"
153,"Four Early Pamphlets","William Godwin"
154,"The Lives of the Poets of Great Britain and Ireland (1753) Volume I.","Theophilus Cibber"
155,"Lost In The Air","Roy J. Snell"
156,"With Kelly to Chitral","William George Laurence Beynon"
157,"The Tragedie of Hamlet, Prince of Denmark A Study with the Text of the Folio of 1623","George MacDonald"
158,"The Real Mother Goose","(Illustrated by Blanche Fisher Wright)"
159,"Letters and Journals of James, Eighth Earl of Elgin","James, Eighth Earl of Elgin"
160,"An Essay on the Slavery and Commerce of the Human Species, Particularly the African Translated from a Latin Dissertation, Which Was Honoured With the First Prize in the University of Cambridge, for the Year 1785, With Additions","Thomas Clarkson"
161,"Supply and Demand","Hubert D. Henderson"
162,"The Theory of Social Revolutions","Brooks Adams"
163,"An Essay Concerning Humane Understanding, Volume I. MDCXC, Based on the 2nd Edition, Books I. and II. (of 4)","John Locke"
164,"An Essay Concerning Humane Understanding, Volume II. MDCXC, Based on the 2nd Edition, Books III. and IV. (of 4)","John Locke"
165,"Within the Deep Cassell's 'Eyes And No Eyes' Series, Book VIII.","R. Cadwallader Smith"
166,"Jesus Says So","Unknown"
167,"The Works of Francis Beaumont and John Fletcher in Ten Volumes Volume I.","Beaumont and Fletcher"
168,"Birthright A Novel","T.S. Stribling"
169,"The Lives of the Poets of Great Britain and Ireland (1753) Vol. III","Theophilus Cibber"
170,"Andrew Golding A Tale of the Great Plague","Annie E. Keeling"
171,"Britain at Bay","Spenser Wilkinson"
172,"Coming to the King","Frances Ridley Havergal"
173,"Halleck's New English Literature","Reuben P. Halleck"
174,"The Healthy Life Cook Book, 2d ed.","Florence Daniel"
175,"Stories from the Italian Poets: With Lives of the Writers, Vol. 2","Leigh Hunt"
176,"The Travels of Marco Polo Volume 1","Marco Polo and Rustichello of Pisa"
177,"The Youthful Wanderer An Account of a Tour through England, France, Belgium, Holland, Germany","George H. Heffner"
178,"Phrases for Public Speakers and Paragraphs for Study","Compiled by Grenville Kleiser"
179,"Towards the Great Peace","Ralph Adams Cram"
180,"The Worlds Greatest Books Vol. II: Fiction","Arthur Mee, J. A. Hammerton, Eds."
181,"Autobiography of Sir George Biddell Airy","George Biddell Airy"
182,"A Collection of Old English Plays, Vol. II","Various"
183,"Hilda Lessways","Arnold Bennett"
184,"Three More John Silence Stories","Algernon Blackwood"
185,"Lives of the English Poets From Johnson to Kirke White, Designed as a Continuation of Johnson's Lives","Henry Francis Cary"
186,"A Selection from the Discourses of Epictetus With the Encheiridion","Epictetus"
187,"Life, Letters, and Epicurean Philosophy of Ninon de L'Enclos, the Celebrated Beauty of the Seventeenth Century","Robinson [and] Overton, ed. and translation."
188,"The Public vs. M. Gustave Flaubert","Various"
189,"The War and Democracy","unknown author #2"
190,"With Zola in England","Ernest Alfred Vizetelly"
191,"The Botanic Garden. Part II. Containing The Loves of the Plants. A Poem. With Philosophical Notes.","Erasmus Darwin"
192,"The Principal Navigations, Voyages, Traffiques, and Discoveries of The English Nation, Volume 9 Asia, Part 2","Richard Hakluyt"
193,"How to Use Your Mind A Psychology of Study: Being a Manual for the Use of Students and Teachers in the Administration of Supervised Study","Harry D. Kitson"
194,"Pebbles on the Shore","Alpha of the Plough (Alfred George Gardiner)"
195,"A Desperate Chance The Wizard Tramp's Revelation, A Thrilling Narrative","Old Sleuth (Harlan P. Halsey)"
196,"Select Speeches of Kossuth","Kossuth"
197,"A Life of Gen. Robert E. Lee","John Esten Cooke"
198,"A Political Diary 1828-1830, Volume II","Edward Law (Lord Ellenborough)"
199,"Sea-Power and Other Studies","Admiral Sir Cyprian Bridge"
200,"The Aeroplane Boys on the Wing Aeroplane Chums in the Tropics","John Luther Langworthy"
201,"Character Writings of the 17th Century","Various"
202,"The History of England from the First Invasion by the Romans to the Accession of King George the Fifth Volume 8","John Lingard and Hilaire Belloc"
203,"A Christmas Mystery The Story of Three Wise Men","William J. Locke"
204,"The Art of Literature","Arthur Schopenhauer"
205,"Counsels and Maxims From The Essays Of Arthur Schopenhauer","Arthur Schopenhauer"
206,"The Epic An Essay","Lascelles Abercrombie By the same Author:"
207,"The Extant Odes of Pindar","Pindar"
208,"Plays A Protegee of the Mistress; Poverty Is No Crime; Sin and Sorrow Are Common to All; It's a Family Affair--We'll Settle It Ourselves","Alexander Ostrovsky"
209,"A Collection of Old English Plays, Vol. III","Various"
210,"Book about Animals","Rufus Merrill"
211,"Mahomet Founder of Islam","Gladys M. Draycott"
212,"The Way of Peace","James Allen"
213,"The Essays Of Arthur Schopenhauer: The Wisdom of Life","Arthur Schopenhauer"
214,"Men, Women, and Ghosts","Elizabeth Stuart Phelps"
215,"Chantecler Play in Four Acts","Edmond Rostand"
216,"The World's Greatest Books, Vol III","Arthur Mee and J.A. Hammerton, Eds."
217,"A Florida Sketch-Book","Bradford Torrey"
218,"Essays of Robert Louis Stevenson","Robert Louis Stevenson"
219,"It Can Be Done Poems of Inspiration","Joseph Morris"
220,"Thrilling Adventures by Land and Sea","James O. Brayman"
221,"Enquire Within Upon Everything The Great Victorian Domestic Standby","Anonymous"
222,"Courage","J. M. Barrie"
223,"A Wanderer in Florence","E. V. Lucas"
224,"Philippine Folklore Stories","John Maurice Miller"
225,"Inca Land Explorations in the Highlands of Peru","Hiram Bingham"
226,"Ancient and Modern Physics","Thomas E. Willson"
227,"The Moving Picture Boys at Panama Stirring Adventures Along the Great Canal","Victor Appleton"
228,"Probable Sons","Amy LeFeuvre"
229,"The Prose Marmion A Tale of the Scottish Border","Sara D. Jenkins"
230,"Happy Little Edward And His Pleasant Ride and Rambles in the Country.","Unknown"
231,"Deserted Sailor's Knots, Part 1.","W.W. Jacobs"
232,"Homeward Bound Sailor's Knots, Part 2.","W.W. Jacobs"
233,"Self-Help Sailor's Knots, Part 4.","W.W. Jacobs"
234,"Sentence Deferred Sailor's Knots, Part 4.","W.W. Jacobs"
235,"Matrimonial Openings Sailor's Knots, Part 5.","W.W. Jacobs"
236,"Odd Man Out Sailor's Knots, Part 6.","W.W. Jacobs"
237,"The Toll-House Sailor's Knots, Part 7.","W.W. Jacobs"
238,"Peter's Pence Sailor's Knots, Part 8.","W.W. Jacobs"
239,"The Head of The Family Sailor's Knots, Part 9.","W.W. Jacobs"
240,"Prize Money Sailor's Knots, Part 10.","W.W. Jacobs"
241,"Double Dealing Sailor's Knots, Part 11.","W.W. Jacobs"
242,"Keeping Up Appearances Sailor's Knots, Part 12.","W.W. Jacobs"
243,"Dahcotah Life and Legends of the Sioux Around Fort Snelling","Mary Eastman"
244,"The Story of the Two Bulls","John R. Bolles"
245,"The Wits and Beaux of Society Volume 2","Grace & Philip Wharton"
246,"Paths of Glory Impressions of War Written At and Near the Front","Irvin S. Cobb"
247,"The Anatomy of Melancholy","Democritus Junior"
248,"A General History and Collection of Voyages and Travels, Vol. II Arranged in Systematic Order: Forming a Complete History of the Origin and Progress of Navigation, Discovery, and Commerce, by Sea and Land, from the Earliest Ages to the Present Time","Robert Kerr"
249,"The Fortunate Foundlings Being the Genuine History of Colonel M----Rs, And His Sister, Madam Du P----Y, The Issue Of The Hon. Ch----Es M----Rs, Son Of The Late Duke Of R---- L----D. Containing Many Wonderful Accidents That Befel Them in Their Travels, and Interspersed with the Characters and Adventures of Several Persons of Condition, In The Most Polite Courts Of Europe. The Whole Calculated for the Entertainment and Improvement of the Youth of Both Sexes.","Eliza Fowler Haywood"
250,"Count The Cost An Address To The People Of Connecticut,On Sundry Political Subjects, And Particularly On The Proposition For A New Constitution.","Jonathan Steadfast"
251,"The Constitutional History of England From 1760 to 1860","Charles Duke Yonge"
252,"Consumers' Cooperative Societies in New York State","The Consumers' League of New York"
253,"The Worshipper of the Image","Richard Le Gallienne"
254,"Messages and Papers of the Presidents: Harrison","James D. Richardson"
255,"The Giant Hands or, The Reward of Industry","Alfred Crowquill"
256,"Anne Severn and the Fieldings","May Sinclair"
257,"Sport and Work on the Nepaul Frontier Twelve Years Sporting Reminiscences of an Indigo Planter","James Inglis"
258,"The Book-Bills of Narcissus An Account Rendered by Richard Le Gallienne","Le Gallienne, Richard"
259,"Discourses on the First Decade of Titus Livius","Niccolo Machiavelli"
260,"Roman History, Books I-III","Titus Livius"
261,"Cinderella","Henry W. Hewet"
262,"The Village in the Mountains; Conversion of Peter Bayssiere; and History of a Bible","Anonymous"
263,"Dr. Johnson's Works: Life, Poems, and Tales, Volume 1 The Works Of Samuel Johnson, Ll.D., In Nine Volumes","Samuel Johnson"
264,"The Soul of Democracy The Philosophy Of The World War In Relation To Human Liberty","Edward Howard Griggs"
265,"The Explorers of Australia and their Life-work","Ernest Favenc"
266,"The Life of Captain James Cook","Arthur Kitson"
267,"The Mental Life of Monkeys and Apes A Study of Ideational Behavior","Robert M. Yerkes"
268,"The Maids Tragedy","Francis Beaumont and John Fletcher"
269,"Natalie A Gem Among the Sea-Weeds","Ferna Vale"
270,"Saved at Sea A Lighthouse Story","Mrs. O.F. Walton"
271,"Philaster Love Lies a Bleeding","Francis Beaumont and John Fletcher"
272,"The Works of Charles and Mary Lamb (Vol. 6) Letters 1821-1842","Charles and Mary Lamb"
273,"Our Gift","Teachers of the School Street Universalist Sunday School, Boston"
274,"Atlantic Monthly, Vol. VI.,October, 1860.--No. XXXVI. A Magazine Of Literature, Art, And Politics","Various"
275,"Is Mars Habitable?","Alfred Russel Wallace"
276,"A Compilation of the Messages and Papers of the Presidents, Vol. 2, Part 3, Andrew Jackson, 1st term","Edited by James D. Richardson"
277,"Paul and Virginia","Bernadin de Saint-Pierre"
278,"The Gracchi Marius and Sulla Epochs Of Ancient History","A.H. Beesley"
279,"The White Waterfall","James Francis Dwyer"
280,"A Visit to the Monastery of La Trappe in 1817 With Notes Taken During a Tour Through Le Perche, Normandy, Bretagne, Poitou, Anjou, Le Bocage, Touraine, Orleanois, and the Environs of Paris. Illustrated with Numerous Coloured Engravings, from Drawings Made on the Spot","W.D. Fellowes"
281,"Play-Making A Manual of Craftsmanship","William Archer"
282,"Clerambault The Story Of An Independent Spirit During The War","Rolland, Romain"
283,"Are You A Bromide? The Sulphitic Theory Expounded And Exemplified According To The Most Recent Researches Into The Psychology Of Boredom Including Many Well-Known Bromidioms Now In Use","Gelett Burgess"
